"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
"WASH7P",48.041918553286,-6.8219904876002,1.10626535457888,-6.16668546959704,6.9736274983696e-10,1.86580297773686e-07,"WASH7P","Significant"
"MIR6859-1",2.87946576748048,0.67798050699522,1.33765871808759,0.5068411679509,0.612266268090744,0.960727613931396,"MIR6859-1","Not Significant"
"ENSG00000268903",9.10503057455556,-1.85299121981488,1.00641894391098,-1.8411728346588,0.0655962349085152,0.599355440589231,"ENSG00000268903","Not Significant"
"ENSG00000269981",10.5088803130105,-2.19379233538043,0.814221666172061,-2.69434286328219,0.00705275733675418,0.176856107861141,"ENSG00000269981","Not Significant"
"ENSG00000241860",4.93983229836504,-1.65011475378861,1.1641414143574,-1.41745215266606,0.156350774034662,0.817035089735876,"ENSG00000241860","Not Significant"
"ENSG00000279457",50.2378558953421,-2.4350580599361,0.442642410442191,-5.50118561279189,3.77245805136151e-08,6.50639893172425e-06,"ENSG00000279457","Not Significant"
"ENSG00000228463",5.62319110747276,-1.79939576503181,0.970660398594504,-1.85378508038166,0.0637699138061058,0.592660981105399,"ENSG00000228463","Not Significant"
"ENSG00000237094",3.28673065423317,-4.82863198079697,1.68246737540703,-2.86997064631271,0.00410509905650089,0.121862464025771,"ENSG00000237094","Not Significant"
"MTND1P23",16.1375221265906,1.7834232259342,0.612397127392678,2.91220050872421,0.00358892176539787,0.10965916298988,"MTND1P23","Not Significant"
"MTND2P28",1721.01656992317,4.48521366239263,0.201851125008646,22.2204045788723,2.18096576465808e-109,4.55145745426494e-105,"MTND2P28","Significant"
"MTCO1P12",244.743587177684,-1.36907663242448,0.263065860236389,-5.20431131274214,1.94717352215407e-07,2.74564623201576e-05,"MTCO1P12","Not Significant"
"MTCO2P12",14.4187830222212,-0.918354110829344,0.598367162728204,-1.53476689235784,0.124841097949921,0.76877025546058,"MTCO2P12","Not Significant"
"MTATP6P1",2115.51844084855,0.848632662546646,0.525891113451479,1.61370413159671,0.106591617361751,0.731009024884121,"MTATP6P1","Not Significant"
"MTCO3P12",14.6294222796731,-2.28445895619412,0.864498628980774,-2.64252467223395,0.0082290469642456,0.195021663799324,"MTCO3P12","Not Significant"
"ENSG00000228327",104.903638044356,-2.77951030800779,0.421363302609263,-6.59646981784095,4.21063173141489e-11,1.41728505811125e-08,"ENSG00000228327","Not Significant"
"RNU6-1199P",3.02428974221148,-1.02502880379116,1.37432994328546,-0.745838951409834,0.45576470704467,0.937028226095627,"RNU6-1199P","Not Significant"
"ENSG00000237491",60.9046430477251,-1.34005761561404,0.346826264435347,-3.86377201794602,0.000111649432585857,0.00710369514827512,"ENSG00000237491","Not Significant"
"ENSG00000230092",13.6447196733742,-2.07974375341742,0.776807984921982,-2.67729451007934,0.00742193639405745,0.182968104032383,"ENSG00000230092","Not Significant"
"LINC01128",168.797297750214,-0.28724405839003,0.407114981156211,-0.705560030176866,0.480461788040364,0.943514019521814,"LINC01128","Not Significant"
"LINC00115",17.3229536132379,-0.969812589909368,0.630343215480933,-1.53854688381064,0.12391495435808,0.768242641915695,"LINC00115","Not Significant"
"ENSG00000272438",4.90489314880604,-1.70809049936344,1.34993892541576,-1.26530946489848,0.205760414984211,0.862579361351044,"ENSG00000272438","Not Significant"
"ENSG00000230699",19.8721750821825,-0.576528695690447,1.3953146003865,-0.413189036745368,0.679468119804325,0.968001129546355,"ENSG00000230699","Not Significant"
"ENSG00000223764",79.1183278236444,-0.657644986765877,2.06111598223395,-0.319072285322384,0.749671699216131,0.978907439052774,"ENSG00000223764","Not Significant"
"SAMD11",189.430230415669,-0.384662081699808,2.67631079709886,-0.143728479561037,0.88571488125159,0.992582280252526,"SAMD11","Not Significant"
"NOC2L",3039.210272598,0.238654552407586,0.486776603082267,0.49027531499342,0.623939092276752,0.961906492882615,"NOC2L","Not Significant"
"KLHL17",406.833405773184,-0.269485667794065,0.307548946734479,-0.876236679251983,0.380901380266316,0.922827931189509,"KLHL17","Not Significant"
"PLEKHN1",125.224311982514,-0.402984430742118,0.472110310508706,-0.853581084276461,0.393337142994603,0.925282000396804,"PLEKHN1","Not Significant"
"PERM1",2.21103131463779,0.890126896865719,2.28469227149478,0.389604721813737,0.696828860027892,0.971314531213757,"PERM1","Not Significant"
"ENSG00000272512",28.5522963229318,-1.09569900218699,0.459322279364945,-2.38546887754257,0.0170573655910274,0.308920687685295,"ENSG00000272512","Not Significant"
"HES4",221.39383733687,-0.144486610013323,0.39886355876297,-0.362245702418721,0.717168429741455,0.974404967015986,"HES4","Not Significant"
"ISG15",325.208928081497,0.522928340321026,0.240717520594768,2.17237340692513,0.0298275091852489,0.419266254515651,"ISG15","Not Significant"
"ENSG00000224969",3.83427427877838,-1.06713083080341,1.26504757366752,-0.843549960504386,0.398920936513845,0.925925788130988,"ENSG00000224969","Not Significant"
"AGRN",3114.58878476148,-0.0037322011524686,0.35027861575809,-0.0106549500442417,0.991498740718983,0.99978637956584,"AGRN","Not Significant"
"ENSG00000217801",47.3735640942341,-0.127219403857556,0.430115501798265,-0.295779629717287,0.767398380451668,0.980634496129956,"ENSG00000217801","Not Significant"
"ENSG00000273443",2.49099873419977,-0.223529840241569,1.54253580002236,-0.144910633671081,0.884781430604092,0.992531820608056,"ENSG00000273443","Not Significant"
"RNF223",51.1718088389532,-0.392425639935147,0.794110430815869,-0.49417011124255,0.62118604627458,0.961906492882615,"RNF223","Not Significant"
"C1orf159",231.479311856435,-0.325632245707508,0.380754704497577,-0.855228423604626,0.392424703649585,0.925282000396804,"C1orf159","Not Significant"
"LINC01342",7.69726551447668,-0.546873992009194,1.36788571898156,-0.399795088449613,0.689307448574566,0.970060860492288,"LINC01342","Not Significant"
"MIR200B",4.38070217006204,-2.26271871962926,1.47290514970749,-1.53622839873879,0.124482373261728,0.768242641915695,"MIR200B","Not Significant"
"MIR200A",4.49086936015738,0.306198717680264,1.17796524496387,0.259938668809923,0.794911082813698,0.983265630887393,"MIR200A","Not Significant"
"MIR429",9.39516650082301,-0.867027288630416,0.893497849937995,-0.970374230548607,0.331859988781923,0.912774438406899,"MIR429","Not Significant"
"ENSG00000272141",50.8899975715578,-0.384082349453342,0.441489035179852,-0.86997030242637,0.38431663381026,0.923079649261601,"ENSG00000272141","Not Significant"
"TTLL10",4.79141512504017,-0.648586101994627,0.992113231732873,-0.653742013763666,0.513278030438636,0.95028009034503,"TTLL10","Not Significant"
"SDF4",1632.883682655,0.143749947505307,0.238340910047698,0.603127459220237,0.546423900519186,0.952561849688252,"SDF4","Not Significant"
"B3GALT6",243.523145077747,0.216622288649079,0.382658553271983,0.56609812271754,0.571327079393688,0.953493544929131,"B3GALT6","Not Significant"
"C1QTNF12",4.31866821748296,-0.788372981924507,1.23451598614295,-0.638608969647815,0.523077344714668,0.951651433233631,"C1QTNF12","Not Significant"
"ENSG00000260179",2.25589614668406,0.579810822957309,1.55309764965668,0.37332541394643,0.708906263901244,0.973021913794665,"ENSG00000260179","Not Significant"
"UBE2J2",828.866626386289,0.118519306428899,0.340644834866404,0.347926327652615,0.727895512483605,0.976311768676451,"UBE2J2","Not Significant"
"LINC01786",11.2108766410202,-0.230595625548272,0.764110924078727,-0.30178291957584,0.762817552380066,0.98004863566355,"LINC01786","Not Significant"
"SCNN1D",67.6234167562734,-0.428873865857883,0.637172284944784,-0.673089329199321,0.500890462163882,0.948396752213202,"SCNN1D","Not Significant"
"ACAP3",397.290098713262,-0.380532556489282,0.289429415748616,-1.31476807740853,0.188587859078393,0.850030244299563,"ACAP3","Not Significant"
"PUSL1",292.998281140607,0.131120497046323,0.524712971750695,0.249889947658131,0.802672457268336,0.983557718908632,"PUSL1","Not Significant"
"INTS11",960.494860063201,0.152197762748383,0.274404582154036,0.554647307831571,0.579135923929218,0.95414975106987,"INTS11","Not Significant"
"ENSG00000240731",21.720119200708,0.00678476564648809,0.597743135723015,0.0113506374912719,0.990943696055324,0.99978637956584,"ENSG00000240731","Not Significant"
"CPTP",378.044630796784,0.288387839286691,0.368336732493501,0.782946184417758,0.433658714928159,0.930976619878176,"CPTP","Not Significant"
"TAS1R3",9.18134410799476,-1.05075949009999,0.81726087500414,-1.28570878924636,0.198544712654122,0.860175449494646,"TAS1R3","Not Significant"
"DVL1",1382.98420267231,0.185472410746382,0.287147254891508,0.645913925997514,0.518335100307826,0.951590972615614,"DVL1","Not Significant"
"AURKAIP1",1277.53052890518,0.33853720320151,0.464377159307236,0.729013467644586,0.465993424352452,0.939973363527212,"AURKAIP1","Not Significant"
"CCNL2",2006.96221638783,-0.37361900538432,0.256258313782678,-1.45797808418099,0.144846583905804,0.802230190958127,"CCNL2","Not Significant"
"ENSG00000224870",211.615971712667,0.0601111173564831,0.300598631990482,0.199971360343338,0.841502979842931,0.987348543366981,"ENSG00000224870","Not Significant"
"MRPL20",916.088322396304,0.570213252351707,0.491341629827303,1.16052297980964,0.245835943234457,0.88359337194062,"MRPL20","Not Significant"
"ENSG00000272455",228.904251318357,0.0704278905689635,0.467373970342645,0.150688517200329,0.880221431743247,0.992044343973584,"ENSG00000272455","Not Significant"
"LINC01770",2.60955639078657,-1.35129716657168,2.06995441446205,-0.652814939851159,0.513875590941141,0.950352214139639,"LINC01770","Not Significant"
"VWA1",367.171045961084,0.34641441145535,0.240212637558938,1.44211568123827,0.14926974199368,0.81069510793547,"VWA1","Not Significant"
"ATAD3C",3.25172269213805,-0.934763662638788,1.34263060434748,-0.696218051049926,0.486292284783972,0.944849788313809,"ATAD3C","Not Significant"
"ATAD3B",1523.46658922944,-0.0382966760158069,0.726123928489316,-0.0527412394954155,0.957938080367126,0.996535012328316,"ATAD3B","Not Significant"
"ATAD3A",882.379344938673,-0.0659511395368398,0.703178821111613,-0.093789997020362,0.925275977878898,0.994467960156293,"ATAD3A","Not Significant"
"TMEM240",14.6403141022957,-0.176761538444391,0.654279965667878,-0.270161930243356,0.787035679291044,0.981388013210005,"TMEM240","Not Significant"
"SSU72",2153.12257257767,0.31151015108775,0.377785198190631,0.824569497639666,0.409616044537667,0.92907665122768,"SSU72","Not Significant"
"ENSG00000215014",25.1220604700808,0.359490403918841,0.540327649054105,0.665319282750315,0.505846299785014,0.950139395489124,"ENSG00000215014","Not Significant"
"FNDC10",26.7326227539144,-0.252453419616567,0.563990629079604,-0.447619883380961,0.654427550778402,0.965469842132056,"FNDC10","Not Significant"
"ENSG00000272106",85.0115220871766,-0.10787424106649,0.369371077684204,-0.292048423885308,0.770249600103005,0.981244770839919,"ENSG00000272106","Not Significant"
"MIB2",320.133084416958,-0.228650055403135,0.321713507492142,-0.710725692512988,0.477254235278712,0.942915397136185,"MIB2","Not Significant"
"CDK11B",456.834871489621,-0.244254267569744,0.320828510492917,-0.761323447203847,0.446463899116995,0.934331343314639,"CDK11B","Not Significant"
"ENSG00000272004",5.39602563324922,-2.86172101981081,1.33089634620963,-2.15022081017876,0.0315377528241058,0.427104545029925,"ENSG00000272004","Not Significant"
"SLC35E2B",1741.84786839304,-0.566613579983833,0.414728535573699,-1.36622761971281,0.171867530994258,0.834868304737684,"SLC35E2B","Not Significant"
"CDK11A",28.4117199508871,0.841342918631289,0.506917708595219,1.65972287881368,0.0969702145851039,0.701246499376391,"CDK11A","Not Significant"
"ENSG00000268575",81.8719275481281,-1.131385717604,0.511450303635602,-2.21211271077882,0.026958878079159,0.399125438156983,"ENSG00000268575","Not Significant"
"ENSG00000227775",2.99130447494454,-3.61926483173141,1.63731708567909,-2.21048498387244,0.0270715215342016,0.399509402251776,"ENSG00000227775","Not Significant"
"SLC35E2",123.121535168783,-1.07116401917909,0.564654644797805,-1.8970250737292,0.057824628910949,0.569102038471272,"SLC35E2","Not Significant"
"NADK",862.144756590249,-0.272285463905605,0.335247137648716,-0.812193254848653,0.41668074933968,0.930719314777884,"NADK","Not Significant"
"GNB1",5279.50642628616,0.251336732636187,0.205642756850517,1.22220075477244,0.221631718529097,0.87401720261143,"GNB1","Not Significant"
"ENSG00000231050",16.4489346994571,-0.433570033170113,0.584478945171206,-0.741806076595473,0.458204838354923,0.937028226095627,"ENSG00000231050","Not Significant"
"CALML6",16.7037882950503,-1.09032393235799,0.613932240760148,-1.77596786741154,0.0757382135064732,0.638360572563242,"CALML6","Not Significant"
"TMEM52",81.2524637217278,0.761435803441068,0.630963864169835,1.20678195167784,0.22751612848707,0.877646414564371,"TMEM52","Not Significant"
"CFAP74",4.81475900222604,-0.379426561449626,1.3040044146693,-0.290970304380334,0.771074031020815,0.981388013210005,"CFAP74","Not Significant"
"ENSG00000226969",4.22587322558511,-1.59936352833885,1.5454461453228,-1.03488790805117,0.300721262334338,0.905219747571363,"ENSG00000226969","Not Significant"
"PRKCZ",864.742667141601,0.151911403688776,0.228664656412739,0.664341425001756,0.506471813423305,0.950187997601215,"PRKCZ","Not Significant"
"PRKCZ-AS1",10.8585682108446,-0.641468964335588,0.92778587649275,-0.691397638817798,0.489315687523752,0.945074417670817,"PRKCZ-AS1","Not Significant"
"FAAP20",606.574572222277,0.0410564537932291,0.31631951718732,0.12979424778559,0.896729214019472,0.993106994756737,"FAAP20","Not Significant"
"SKI",2850.90565096702,0.251025732931271,0.235925622881876,1.06400368838681,0.287327028667979,0.901059281486653,"SKI","Not Significant"
"MORN1",411.204447600699,-0.264655959157408,0.265319481039539,-0.997499158827195,0.318522281897213,0.910392424051088,"MORN1","Not Significant"
"ENSG00000269896",75.5030538412436,-0.619110305906377,0.591652574498039,-1.04640853871317,0.295372452141151,0.901616260265907,"ENSG00000269896","Not Significant"
"ENSG00000272420",7.80971874769874,0.0253194033202442,1.00952122987659,0.0250806051135144,0.979990670193631,0.999559229594546,"ENSG00000272420","Not Significant"
"RER1",2744.55042019357,0.348404063068325,0.305195676539839,1.14157601122782,0.253630300044921,0.888685482141949,"RER1","Not Significant"
"PEX10",788.03041113558,-0.103504833401931,0.359928124906683,-0.287570840508133,0.773675268300494,0.981388013210005,"PEX10","Not Significant"
"PLCH2",59.2571323043024,0.0241036035215268,2.42888106458193,0.00992374796485788,0.992082124673502,0.99978637956584,"PLCH2","Not Significant"
"PANK4",701.078702751007,0.0315930283631334,0.308228820629754,0.102498618716396,0.918360909180923,0.994202998797607,"PANK4","Not Significant"
"ENSG00000272449",68.4724135870214,0.366444445076057,0.654733085567904,0.559685241441877,0.575694150778498,0.953949783304987,"ENSG00000272449","Not Significant"
"TNFRSF14-AS1",148.306846471271,-0.067776717197644,0.992321084777418,-0.0683011962935834,0.945545871850239,0.995717991666607,"TNFRSF14-AS1","Not Significant"
"TNFRSF14",95.8344775121267,0.0604775453999647,0.536960032636612,0.112629510064286,0.910324288257367,0.994202998797607,"TNFRSF14","Not Significant"
"FAM213B",870.724189086234,0.225246522160938,0.335626521688726,0.671122535333608,0.502142471969393,0.948892582457549,"FAM213B","Not Significant"
"MMEL1",3.18561783663652,-0.263620565051207,2.07954822125969,-0.126768190492606,0.899123872886542,0.993267487336258,"MMEL1","Not Significant"
"TTC34",77.3817012491142,0.124290824651177,0.579707278218696,0.214402732760391,0.830233010780432,0.986730335459638,"TTC34","Not Significant"
"LINC00982",16.6989964399598,-0.236718582685012,0.735997169741936,-0.321629745897003,0.747733206308703,0.978584853654901,"LINC00982","Not Significant"
"PRDM16",99.2552982997234,0.0941615970533582,0.502068440566746,0.187547333082849,0.85123151557756,0.988453499399161,"PRDM16","Not Significant"
"ENSG00000279839",4.53398483863679,-1.37479798705282,1.16260072168246,-1.18251946813114,0.236999645455882,0.883164729449314,"ENSG00000279839","Not Significant"
"ENSG00000272235",5.9417823141461,-0.825509329108786,1.06656237331245,-0.773990672992695,0.438936306901099,0.932644779750881,"ENSG00000272235","Not Significant"
"ARHGEF16",793.894171425493,-0.0312737419274865,0.312956931374996,-0.099929858687211,0.92040001118678,0.994202998797607,"ARHGEF16","Not Significant"
"MEGF6",215.880256318306,-0.745996279939209,0.669735559604866,-1.11386691245622,0.265336285955486,0.893401573347055,"MEGF6","Not Significant"
"ENSG00000238260",2.53327421408833,-0.535059340267433,1.40188066736838,-0.381672529425668,0.702704278611939,0.971589353039595,"ENSG00000238260","Not Significant"
"TPRG1L",433.152375329156,-0.0342903841560158,0.215174915704992,-0.159360509303178,0.873384850261158,0.991288027964016,"TPRG1L","Not Significant"
"WRAP73",556.932256215057,0.185294609734196,0.365018880540355,0.507630206579712,0.611712702699949,0.960727613931396,"WRAP73","Not Significant"
"TP73",638.065294378594,0.0415975975412515,0.349765653355546,0.11892990961856,0.905330885475067,0.994202998797607,"TP73","Not Significant"
"SMIM1",8.55663143633221,0.217641215890236,0.99724912417067,0.218241571353828,0.827240896374817,0.986367409454956,"SMIM1","Not Significant"
"LRRC47",942.4586992268,0.24656281802966,0.324867964232961,0.758963164040549,0.447874592328732,0.934762963027134,"LRRC47","Not Significant"
"ENSG00000272153",2.10304243896588,-0.239872795872018,1.52020649389102,-0.157789614000434,0.874622582957684,0.991288027964016,"ENSG00000272153","Not Significant"
"CEP104",1056.07947446954,0.316266729542526,0.207987286835532,1.520606063738,0.128358724227232,0.77464378713074,"CEP104","Not Significant"
"DFFB",277.332167428269,0.0426295763629912,0.471569492459891,0.090399351621791,0.927969871915785,0.994764918088137,"DFFB","Not Significant"
"C1orf174",488.533579216734,0.373775468951675,0.433694664678058,0.861840136375986,0.388775494940686,0.924450495308757,"C1orf174","Not Significant"
"LINC01134",16.1387258222444,-0.303250157007745,0.747572904086889,-0.405646265869074,0.685002529285276,0.969679307612852,"LINC01134","Not Significant"
"NPHP4",320.209106715719,-0.0860247966364346,0.317150972072517,-0.271242418316677,0.786204590276524,0.981388013210005,"NPHP4","Not Significant"
"KCNAB2",183.464532809597,-0.587948103564148,0.530406113002525,-1.10848666550219,0.267651694797625,0.894920817919333,"KCNAB2","Not Significant"
"CHD5",8.34960172930829,-1.02317311360288,0.810326242984395,-1.26266811973728,0.206708475736291,0.862579361351044,"CHD5","Not Significant"
