,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig_lfc1,sig_lfc1.5,sig_lfc2,sig_lfc3
ZSCAN18,0.737513003,8.430346927,4.354984099,8.14E-05,0.353826903,-0.569279797,Not Significant,Not Significant,Not Significant,Not Significant
MYOM1,-1.074807725,6.970136477,-4.31193738,9.33E-05,0.353826903,-0.637496398,Significant,Not Significant,Not Significant,Not Significant
CDC14B,-0.670027454,6.888196158,-4.065374552,0.000201247,0.509021662,-1.026600118,Not Significant,Not Significant,Not Significant,Not Significant
CTSC,-1.074528857,8.819764731,-3.852654812,0.000385745,0.546575883,-1.359004421,Significant,Not Significant,Not Significant,Not Significant
SUPT16H,-1.485897659,9.676105845,-3.795389856,0.000458547,0.546575883,-1.447786068,Significant,Not Significant,Not Significant,Not Significant
TUBA3C,-0.637370566,8.52547911,-3.78884096,0.000467673,0.546575883,-1.457917507,Not Significant,Not Significant,Not Significant,Not Significant
SREK1,-0.735790109,6.610823661,-3.763794303,0.000504221,0.546575883,-1.496622931,Not Significant,Not Significant,Not Significant,Not Significant
KRT18,-0.938352637,12.69665914,-3.61640879,0.000781855,0.666112776,-1.722892488,Not Significant,Not Significant,Not Significant,Not Significant
BTG3,1.626013745,8.76985065,3.599485938,0.000821859,0.666112776,-1.748696573,Significant,Significant,Not Significant,Not Significant
PON2,-1.054840828,9.524526325,-3.572805517,0.000888947,0.666112776,-1.789299662,Significant,Not Significant,Not Significant,Not Significant
CYB5B,-0.933844117,7.214085286,-3.544577629,0.000965635,0.666112776,-1.832149058,Not Significant,Not Significant,Not Significant,Not Significant
CLCN3,-0.824375649,8.567604898,-3.450132888,0.001270998,0.758785467,-1.97465683,Not Significant,Not Significant,Not Significant,Not Significant
SLIRP,0.737152095,11.24602288,3.405970732,0.001443617,0.758785467,-2.040813077,Not Significant,Not Significant,Not Significant,Not Significant
PDLIM1,-1.273416099,11.75791442,-3.390125935,0.001510835,0.758785467,-2.064470568,Significant,Not Significant,Not Significant,Not Significant
TOX4,-0.942686627,8.64193427,-3.382657356,0.001543543,0.758785467,-2.075607034,Not Significant,Not Significant,Not Significant,Not Significant
NDE1,-0.603737762,7.446520976,-3.340117776,0.001743097,0.758785467,-2.138854894,Not Significant,Not Significant,Not Significant,Not Significant
EXTL2,-0.733324265,9.911706244,-3.337951396,0.001753891,0.758785467,-2.142067387,Not Significant,Not Significant,Not Significant,Not Significant
SUCLG1,0.572754735,7.959333856,3.328843725,0.001799966,0.758785467,-2.155563869,Not Significant,Not Significant,Not Significant,Not Significant
NPR1,1.531012286,9.477707835,3.243760784,0.002289674,0.770683955,-2.280911699,Significant,Significant,Not Significant,Not Significant
SCYL2,1.209914225,8.950960567,3.215239099,0.002480394,0.770683955,-2.32262291,Significant,Not Significant,Not Significant,Not Significant
DNAJC22,-1.075369316,6.912057999,-3.210421055,0.002514062,0.770683955,-2.329653197,Significant,Not Significant,Not Significant,Not Significant
SPRY1,-1.459508211,8.99532084,-3.200357933,0.002585781,0.770683955,-2.344321962,Significant,Not Significant,Not Significant,Not Significant
GCNT1,-1.111873061,7.647572089,-3.198255976,0.002601004,0.770683955,-2.347383373,Significant,Not Significant,Not Significant,Not Significant
PRIM1,-1.190787577,8.996704792,-3.194464455,0.002628678,0.770683955,-2.352903316,Significant,Not Significant,Not Significant,Not Significant
HEXB,-0.804432727,10.78943882,-3.185419356,0.002695827,0.770683955,-2.366060036,Not Significant,Not Significant,Not Significant,Not Significant
FANCL,-1.010077858,9.539814594,-3.167714192,0.002831988,0.770683955,-2.391765194,Significant,Not Significant,Not Significant,Not Significant
TPBG,-1.365679254,8.420955294,-3.15529829,0.002931322,0.770683955,-2.409752666,Significant,Not Significant,Not Significant,Not Significant
NME2,0.663340767,12.24317783,3.153860871,0.002943032,0.770683955,-2.411833052,Not Significant,Not Significant,Not Significant,Not Significant
KIAA0040,-0.64146286,8.161265171,-3.148014979,0.002991114,0.770683955,-2.420289405,Not Significant,Not Significant,Not Significant,Not Significant
PEBP1,0.851071054,11.77678456,3.119958882,0.003232373,0.770683955,-2.460773607,Not Significant,Not Significant,Not Significant,Not Significant
HNRNPC,-0.37712866,9.565440857,-3.109879583,0.003323442,0.770683955,-2.475276779,Not Significant,Not Significant,Not Significant,Not Significant
SLCO2A1,-1.037041582,7.863634829,-3.096165797,0.003451239,0.770683955,-2.494974362,Significant,Not Significant,Not Significant,Not Significant
ACADS,0.723305458,8.032727621,3.092144891,0.003489578,0.770683955,-2.500741962,Not Significant,Not Significant,Not Significant,Not Significant
NDUFA10,0.35652882,7.258910144,3.075889846,0.003648695,0.770683955,-2.524022034,Not Significant,Not Significant,Not Significant,Not Significant
ARMCX2,1.278849964,11.00067598,3.064818103,0.003760957,0.770683955,-2.539845192,Significant,Not Significant,Not Significant,Not Significant
AP5S1,0.559777932,8.217516741,3.057517732,0.003836748,0.770683955,-2.550263511,Not Significant,Not Significant,Not Significant,Not Significant
NFIX,0.629821497,7.565008263,3.052070362,0.003894234,0.770683955,-2.558029612,Not Significant,Not Significant,Not Significant,Not Significant
SPCS3,-0.78686121,8.905695287,-3.045624006,0.003963309,0.770683955,-2.567211265,Not Significant,Not Significant,Not Significant,Not Significant
CXADR,1.538302779,9.40104557,3.028112242,0.004156811,0.770683955,-2.592105795,Significant,Significant,Not Significant,Not Significant
LTBP4,0.598646422,7.12467119,3.025006174,0.004192046,0.770683955,-2.596514005,Not Significant,Not Significant,Not Significant,Not Significant
CLDN6,-2.503208226,7.983140591,-3.021540023,0.004231696,0.770683955,-2.601430628,Significant,Significant,Significant,Not Significant
NCOA2,-0.814514933,7.443387904,-3.015979537,0.004296041,0.770683955,-2.60931219,Not Significant,Not Significant,Not Significant,Not Significant
RPL29,0.5766625,13.27085359,2.989703015,0.004612717,0.770683955,-2.646459508,Not Significant,Not Significant,Not Significant,Not Significant
NFAT5,-0.727034568,7.818946978,-2.97346085,0.004819269,0.770683955,-2.669339623,Not Significant,Not Significant,Not Significant,Not Significant
SETX,-0.557855631,7.960132038,-2.946114624,0.005186714,0.770683955,-2.707718683,Not Significant,Not Significant,Not Significant,Not Significant
GAB2,1.23677379,10.26219111,2.944280603,0.005212272,0.770683955,-2.710286141,Significant,Not Significant,Not Significant,Not Significant
TGM2,-1.139355538,8.01897396,-2.937023062,0.005314569,0.770683955,-2.720437931,Significant,Not Significant,Not Significant,Not Significant
TBC1D9,-0.694352173,8.723544938,-2.934171712,0.005355271,0.770683955,-2.724422835,Not Significant,Not Significant,Not Significant,Not Significant
GATA6,1.380348851,7.843206379,2.931755423,0.00538999,0.770683955,-2.727798153,Significant,Not Significant,Not Significant,Not Significant
ANXA1,-1.184949821,9.664264493,-2.921393259,0.005541282,0.770683955,-2.742256692,Significant,Not Significant,Not Significant,Not Significant
C21orf91,1.197678174,9.052504367,2.921009035,0.005546967,0.770683955,-2.742792295,Significant,Not Significant,Not Significant,Not Significant
LSS,0.75394239,7.463910815,2.917223377,0.005603276,0.770683955,-2.748067488,Not Significant,Not Significant,Not Significant,Not Significant
DHCR24,1.174060591,11.82222887,2.915857201,0.005623727,0.770683955,-2.749970333,Significant,Not Significant,Not Significant,Not Significant
METTL17,-0.622031305,9.364784864,-2.915846418,0.005623889,0.770683955,-2.749985349,Not Significant,Not Significant,Not Significant,Not Significant
KLHL2,-1.117870084,8.433920708,-2.914491911,0.005644235,0.770683955,-2.751871478,Significant,Not Significant,Not Significant,Not Significant
NUP210,-0.821941686,8.114452041,-2.911613209,0.005687704,0.770683955,-2.755878499,Not Significant,Not Significant,Not Significant,Not Significant
HOXC6,-1.755557303,8.775130146,-2.872537254,0.006309522,0.826649767,-2.810063403,Significant,Significant,Not Significant,Not Significant
COX6A1,0.470900945,9.574852669,2.862907809,0.006472199,0.826649767,-2.823356192,Not Significant,Not Significant,Not Significant,Not Significant
ZC3H7A,-0.680122782,8.274326733,-2.85643289,0.00658377,0.826649767,-2.832280877,Not Significant,Not Significant,Not Significant,Not Significant
LITAF,-0.700043322,8.485244772,-2.85153504,0.006669353,0.826649767,-2.839024571,Not Significant,Not Significant,Not Significant,Not Significant
ATP5PO,0.499321699,9.226144334,2.841558366,0.006846892,0.826649767,-2.852741744,Not Significant,Not Significant,Not Significant,Not Significant
PLXNA2,-0.686518895,7.795175437,-2.840259752,0.006870322,0.826649767,-2.85452532,Not Significant,Not Significant,Not Significant,Not Significant
MRPS22,0.590302782,9.492227646,2.827993488,0.007095341,0.826649767,-2.871350431,Not Significant,Not Significant,Not Significant,Not Significant
